Match Event,Match Stage,Map,Win/Lose By,Player,Team,Agent,Rating 2.0,Average Combat Score,Kills,Deaths,Assists,Kills - Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Headshot %,First Kills,First Deaths,Kills - Deaths
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,+4,Glance,Karmine Corp GC,Tejo,1.72,307,25,12,4,+13,77%,192,28%,3,0,+3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,+4,Jiex,Karmine Corp GC,Omen,1.49,274,22,14,10,+8,91%,172,34%,3,0,+3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,+4,safiaa,Karmine Corp GC,Cypher,1.12,172,15,11,5,+4,68%,120,31%,1,2,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,+4,anesilia,Karmine Corp GC,Breach,0.71,147,10,16,12,-6,73%,97,33%,1,1,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,+4,alkyia,Karmine Corp GC,Neon,0.65,178,13,18,6,-5,73%,123,37%,4,7,-3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,-4,ellie,ALTERNATE aTTaX Ruby,Neon,1.06,222,17,17,7,0,77%,136,21%,4,2,+2
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,-4,ginger,ALTERNATE aTTaX Ruby,Cypher,0.95,194,16,17,5,-1,59%,132,30%,2,3,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,-4,Jade,ALTERNATE aTTaX Ruby,Breach,0.94,169,12,15,10,-3,64%,107,35%,1,1,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,-4,Harmonee,ALTERNATE aTTaX Ruby,Fade,0.85,184,16,17,7,-1,73%,122,30%,1,4,-3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Lotus,-4,Blossi,ALTERNATE aTTaX Ruby,Omen,0.44,145,10,19,6,-9,55%,92,37%,2,2,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+5,Glance,Karmine Corp GC,Fade,1.40,247,19,12,7,+7,86%,164,29%,2,1,+1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+5,safiaa,Karmine Corp GC,Viper,1.08,194,15,12,6,+3,76%,135,30%,1,1,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+5,Jiex,Karmine Corp GC,Brimstone,1.07,199,15,14,5,+1,76%,113,37%,3,2,+1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+5,anesilia,Karmine Corp GC,Vyse,1.01,217,17,16,6,+1,67%,141,17%,1,0,+1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+5,alkyia,Karmine Corp GC,Yoru,0.60,138,10,16,3,-6,57%,88,11%,5,5,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-5,ellie,ALTERNATE aTTaX Ruby,Raze,1.10,246,19,17,3,+2,62%,153,19%,4,2,+2
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-5,Jade,ALTERNATE aTTaX Ruby,Deadlock,1.08,200,17,14,5,+3,57%,125,44%,1,1,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-5,Blossi,ALTERNATE aTTaX Ruby,Brimstone,1.07,210,13,16,15,-3,81%,152,25%,1,2,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-5,Harmonee,ALTERNATE aTTaX Ruby,Fade,0.87,166,11,14,6,-3,67%,104,38%,2,3,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-5,ginger,ALTERNATE aTTaX Ruby,Vyse,0.76,151,10,15,4,-5,76%,101,21%,1,4,-3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,+11,DREAM,Zerance Mint,Vyse,1.92,280,16,5,6,+11,87%,198,32%,0,1,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,+11,Akita,Zerance Mint,Jett,1.54,317,18,10,3,+8,87%,224,46%,2,2,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,+11,Pinkalie,Zerance Mint,Breach,1.38,228,12,8,9,+4,73%,162,35%,1,1,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,+11,Thuy,Zerance Mint,Astra,1.25,170,10,6,7,+4,87%,103,16%,2,1,+1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,+11,Loupiote,Zerance Mint,Tejo,0.94,169,10,9,3,+1,73%,112,39%,2,3,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,-11,ja2,Lunar,Jett,0.87,215,11,13,2,-2,47%,147,31%,1,4,-3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,-11,els,Lunar,Kayo,0.76,179,9,13,6,-4,80%,112,12%,4,1,+3
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,-11,Mel,Lunar,Omen,0.56,149,8,14,3,-6,73%,96,35%,0,0,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,-11,Ninou,Lunar,Sova,0.54,130,5,13,2,-8,40%,89,50%,2,0,+2
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Abyss,-11,LizA,Lunar,Cypher,0.31,122,5,14,3,-9,47%,80,54%,1,2,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+4,DREAM,Zerance Mint,Brimstone,1.44,252,20,13,12,+7,86%,156,24%,0,0,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+4,Pinkalie,Zerance Mint,Gekko,1.25,228,18,14,7,+4,86%,137,20%,1,0,+1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+4,Thuy,Zerance Mint,Fade,1.23,247,19,16,11,+3,77%,160,29%,0,0,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+4,Akita,Zerance Mint,Raze,1.00,285,22,20,3,+2,68%,181,19%,7,8,-1
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,+4,Loupiote,Zerance Mint,Skye,0.67,130,9,17,11,-8,64%,101,33%,1,5,-4
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-4,LizA,Lunar,Viper,1.71,337,28,15,2,+13,73%,228,44%,5,1,+4
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-4,ja2,Lunar,Raze,0.92,206,16,17,2,-1,64%,143,29%,3,3,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-4,Ninou,Lunar,Tejo,0.88,222,17,18,5,-1,77%,145,27%,2,0,+2
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-4,Mel,Lunar,Brimstone,0.60,136,9,19,8,-10,73%,90,16%,2,2,0
Group Stage: Week 1,Game Changers 2025 EMEA: Stage 1,Bind,-4,els,Lunar,Skye,0.55,150,10,19,9,-9,73%,99,21%,1,3,-2